Degree,N,Solve Time,Objective Value,Integral of Square Error
2,3,0.0130,1.0000,0.2000
2,4,0.0058,1.0000,0.1000
2,5,0.0125,1.0139,0.0764
2,6,0.0139,1.1011,0.0758
2,7,0.0151,1.1972,0.0730
2,8,0.0190,1.2817,0.0690
2,9,0.0201,1.3530,0.0647
2,10,0.0207,1.4152,0.0624
2,11,0.0231,1.4814,0.0622
2,12,0.0230,1.5493,0.0620
2,13,0.0291,1.6158,0.0616
2,14,0.0244,1.6794,0.0610
2,15,0.0312,1.7408,0.0608
2,16,0.0267,1.8037,0.0608
2,17,0.0275,1.8672,0.0607
2,18,0.0295,1.9300,0.0606
2,19,0.0385,1.9917,0.0604
2,20,0.0470,2.0527,0.0604
2,21,0.0640,2.1144,0.0604
2,22,0.0443,2.1763,0.0604
2,23,0.0598,2.2379,0.0604
2,24,0.1246,2.2988,0.0603
2,25,0.1005,2.3596,0.0603
2,26,0.0672,2.4208,0.0603
2,27,0.1259,2.4820,0.0603
2,28,0.1160,2.5431,0.0602
2,29,0.1086,2.6036,0.0602
2,30,0.0954,2.6642,0.0602
2,31,0.0954,2.7251,0.0602
2,32,0.1043,2.7860,0.0602
2,33,0.1177,2.8467,0.0602
2,34,0.1168,2.9071,0.0602
2,35,0.1309,2.9676,0.0602
2,36,0.1494,3.0283,0.0602
2,37,0.1537,3.0890,0.0602
2,38,0.1590,3.1495,0.0602
2,39,0.1643,3.2098,0.0602
2,40,0.1775,3.2703,0.0602
3,4,0.0122,1.0000,0.1429
3,5,0.0133,1.0139,0.0822
3,6,0.0160,1.1501,0.0801
3,7,0.0175,1.2817,0.0738
3,8,0.0183,1.3842,0.0669
3,9,0.0254,1.4682,0.0636
3,10,0.0239,1.5637,0.0640
3,11,0.0235,1.6609,0.0638
3,12,0.0260,1.7529,0.0630
3,13,0.0301,1.8376,0.0618
3,14,0.0343,1.9163,0.0612
3,15,0.0499,1.9946,0.0613
3,16,0.0641,2.0716,0.0612
3,17,0.0619,2.1459,0.0609
3,18,0.0757,2.2168,0.0605
3,19,0.0957,2.2864,0.0605
3,20,0.0634,2.3563,0.0605
3,21,0.0659,2.4256,0.0605
3,22,0.0705,2.4936,0.0604
3,23,0.0730,2.5599,0.0603
3,24,0.1051,2.6259,0.0603
3,25,0.1066,2.6921,0.0603
3,26,0.1145,2.7579,0.0603
3,27,0.1588,2.8230,0.0602
3,28,0.2253,2.8871,0.0602
3,29,0.2349,2.9513,0.0602
3,30,0.2093,3.0155,0.0602
3,31,0.2952,3.0795,0.0602
3,32,0.6844,3.1430,0.0602
3,33,0.2607,3.2059,0.0602
3,34,0.2268,3.2690,0.0602
3,35,0.2950,3.3320,0.0602
3,36,0.2494,3.3949,0.0602
3,37,0.3202,3.4575,0.0601
3,38,0.2993,3.5198,0.0601
3,39,0.3255,3.5821,0.0601
3,40,0.3541,3.6444,0.0601
4,5,0.0256,1.0000,0.1111
4,6,0.0214,1.1011,0.0847
4,7,0.0370,1.2817,0.0765
4,8,0.0357,1.4127,0.0669
4,9,0.0407,1.5276,0.0656
4,10,0.0488,1.6560,0.0657
4,11,0.0414,1.7776,0.0646
4,12,0.0351,1.8872,0.0629
4,13,0.0447,1.9881,0.0622
4,14,0.0606,2.0876,0.0619
4,15,0.0602,2.1835,0.0619
4,16,0.0714,2.2762,0.0616
4,17,0.0914,2.3643,0.0611
4,18,0.0817,2.4482,0.0609
4,19,0.0882,2.5307,0.0609
4,20,0.0855,2.6110,0.0608
4,21,0.1443,2.6886,0.0606
4,22,0.1023,2.7638,0.0604
4,23,0.1401,2.8384,0.0605
4,24,0.1484,2.9122,0.0605
4,25,0.1549,2.9849,0.0604
4,26,0.1768,3.0561,0.0603
4,27,0.1882,3.1260,0.0603
4,28,0.2224,3.1956,0.0603
4,29,0.2680,3.2648,0.0603
4,30,0.2826,3.3334,0.0603
4,31,0.3027,3.4011,0.0602
4,32,0.3410,3.4682,0.0602
4,33,0.3784,3.5351,0.0602
4,34,0.3690,3.6017,0.0602
4,35,0.4184,3.6679,0.0602
4,36,0.3852,3.7336,0.0602
4,37,0.3903,3.7988,0.0602
4,38,0.4657,3.8640,0.0602
4,39,0.5200,3.9290,0.0602
4,40,0.5476,3.9937,0.0602
5,6,0.0185,1.0000,0.0909
5,7,0.0196,1.1972,0.0831
5,8,0.0208,1.3842,0.0707
5,9,0.0216,1.5262,0.0668
5,10,0.0334,1.6851,0.0667
5,11,0.0261,1.8321,0.0651
5,12,0.0356,1.9613,0.0633
5,13,0.0413,2.0839,0.0629
5,14,0.0551,2.2022,0.0627
5,15,0.0647,2.3161,0.0624
5,16,0.0639,2.4232,0.0618
5,17,0.1094,2.5251,0.0615
5,18,0.0852,2.6238,0.0614
5,19,0.1063,2.7200,0.0613
5,20,0.1004,2.8123,0.0610
5,21,0.1192,2.9013,0.0608
5,22,0.1569,2.9878,0.0607
5,23,0.2222,3.0721,0.0607
5,24,0.1686,3.1545,0.0606
5,25,0.2234,3.2346,0.0605
5,26,0.2233,3.3130,0.0604
5,27,0.2799,3.3904,0.0604
5,28,0.2982,3.4668,0.0604
5,29,0.5372,3.5420,0.0603
5,30,0.3960,3.6157,0.0603
5,31,0.4325,3.6885,0.0603
5,32,0.4877,3.7608,0.0603
5,33,0.5233,3.8324,0.0603
5,34,0.4969,3.9033,0.0602
5,35,0.6128,3.9734,0.0602
5,36,0.6004,4.0429,0.0602
5,37,0.6702,4.1120,0.0602
5,38,0.7288,4.1807,0.0602
5,39,0.7928,4.2489,0.0602
5,40,0.8917,4.3165,0.0602
